altitude,count
0,114525
100,116829
200,119081
300,121381
400,123805
500,126242
600,128684
700,131183
800,133810
900,136428
1000,139104
1100,141779
1200,144500
1300,147287
1400,150096
1500,152931
1600,155846
1700,158702
1800,161710
1900,164827
2000,167955
2100,171086
2200,174227
2300,177412
2400,180778
2500,184002
2600,187411
2700,190844
2800,194348
2900,197866
3000,201624
3100,205355
3200,209305
3300,213093
3400,217021
3500,221047
3600,224959
3700,229036
3800,233189
3900,237488
4000,241754
4100,246041
4200,250568
4300,255147
4400,259803
4500,264576
4600,269094
4700,273988
4800,278841
4900,283812
5000,288921
5100,294112
5200,299444
5300,304629
5400,310093
5500,315552
5600,321243
5700,326877
5800,332579
5900,338360
6000,344289
6100,350268
6200,356542
6300,362597
6400,368860
6500,375250
6600,381758
6700,388215
6800,394733
6900,401437
7000,408149
7100,414692
7200,421724
7300,428745
7400,435818
7500,442952
7600,450332
7700,457750
7800,465349
7900,473157
8000,480747
8100,487912
8200,495153
8300,502069
8400,508858
8500,515387
8600,521954
8700,528193
8800,534235
8900,540497
9000,546396
9100,552375
9200,558201
9300,564072
9400,569708
9500,575432
9600,580805
9700,586092
9800,591465
9900,596693
10000,601611
10100,606445
10200,611126
10300,615831
10400,620512
10500,624868
10600,629144
10700,633359
10800,637201
10900,640901
11000,644469
11100,647998
11200,651376
11300,654479
11400,657325
11500,660216
11600,662939
11700,665522
11800,667766
11900,670070
12000,672175
12100,674002
12200,675663
12300,677156
12400,678629
12500,679798
12600,680724
12700,681605
12800,682153
12900,682664
13000,682885
13100,682978
13200,683111
13300,682967
13400,682525
13500,681981
13600,681280
13700,680303
13800,679087
13900,677824
14000,676449
14100,674628
14200,672831
14300,670829
14400,668695
14500,666296
14600,663740
14700,660951
14800,657995
14900,654796
15000,651575
15100,647950
15200,644156
15300,640272
15400,636135
15500,631634
15600,627146
15700,622475
15800,617674
15900,612844
16000,607905
16100,603200
16200,598545
16300,593664
16400,588867
16500,584111
16600,579232
16700,574489
16800,569676
16900,564911
17000,560168
17100,555438
17200,550693
17300,545868
17400,541241
17500,536656
17600,532033
17700,527361
17800,522600
17900,518105
18000,513362
18100,508691
18200,504046
18300,499475
18400,494869
18500,490326
18600,485771
18700,481251
18800,476753
18900,472259
19000,467697
19100,463349
19200,458938
19300,454593
19400,450379
19500,445949
19600,441585
19700,437317
19800,433043
19900,428806
20000,424559
20100,420399
20200,416301
20300,412190
20400,407911
20500,403755
20600,399652
20700,395732
20800,391614
20900,387649
21000,383714
21100,379876
21200,375974
21300,372053
21400,368286
21500,364583
21600,360744
21700,356877
21800,353161
21900,349427
22000,345783
22100,342189
22200,338571
22300,334975
22400,331379
22500,327753
22600,324332
22700,320905
22800,317394
22900,314038
23000,310639
23100,307213
23200,303981
23300,300614
23400,297323
23500,294065
23600,290827
23700,287614
23800,284497
23900,281317
24000,278268
24100,275239
24200,272222
24300,269184
24400,266202
24500,263234
24600,260315
24700,257349
24800,254482
24900,251587
25000,248794
25100,245941
25200,243147
25300,240333
25400,237636
25500,234855
25600,232172
25700,229512
25800,226918
25900,224270
26000,221704
26100,219189
26200,216695
26300,214141
26400,211664
26500,209230
26600,206767
26700,204308
26800,201928
26900,199605
27000,197359
27100,195035
27200,192737
27300,190446
27400,188281
27500,186000
27600,183826
27700,181614
27800,179490
27900,177426
28000,175296
28100,173191
28200,171097
28300,169103
28400,167075
28500,165108
28600,163105
