altitude,count
0,119838
100,124222
200,128696
300,133323
400,137936
500,142724
600,147851
700,152895
800,157769
900,162964
1000,168585
1100,173728
1200,179653
1300,185631
1400,191817
1500,197954
1600,204300
1700,210636
1800,217459
1900,224097
2000,230948
2100,237860
2200,244557
2300,251610
2400,258434
2500,265888
2600,273956
2700,282244
2800,290570
2900,298804
3000,307343
3100,316183
3200,324752
3300,332768
3400,341907
3500,350964
3600,359610
3700,368598
3800,377705
3900,386482
4000,396022
4100,405314
4200,415240
4300,424882
4400,435140
4500,445852
4600,456153
4700,466571
4800,476244
4900,487196
5000,497759
5100,507855
5200,518594
5300,529664
5400,540756
5500,551827
5600,562347
5700,572736
5800,583897
5900,594791
6000,606002
6100,618160
6200,629190
6300,640895
6400,652195
6500,663993
6600,674468
6700,685342
6800,696852
6900,708701
7000,719734
7100,730312
7200,741816
7300,753275
7400,764280
7500,775714
7600,787350
7700,797623
7800,808559
7900,819562
8000,830136
8100,840275
8200,850477
8300,860562
8400,871096
8500,880871
8600,891068
8700,902028
8800,912582
8900,922614
9000,932268
9100,941875
9200,950801
9300,960378
9400,970691
9500,979606
9600,989441
9700,998845
9800,1007347
9900,1016533
10000,1025548
10100,1034240
10200,1042283
10300,1051755
10400,1060910
10500,1069811
10600,1077680
10700,1085632
10800,1092670
10900,1099390
11000,1106871
11100,1113713
11200,1120847
11300,1128287
11400,1135019
11500,1141824
11600,1148450
11700,1155163
11800,1161237
11900,1167311
12000,1174187
12100,1179511
12200,1184120
12300,1189997
12400,1195982
12500,1201108
12600,1207695
12700,1212805
12800,1217814
12900,1222188
13000,1226719
13100,1231545
13200,1234958
13300,1238668
13400,1241814
13500,1245855
13600,1249624
13700,1253266
13800,1257257
13900,1260009
14000,1262954
14100,1265156
14200,1267862
14300,1270875
14400,1275140
14500,1277383
14600,1279152
14700,1281449
14800,1284032
14900,1285867
15000,1287374
15100,1290071
15200,1291880
15300,1294233
15400,1296420
15500,1297710
15600,1299687
15700,1301615
15800,1304254
15900,1305171
16000,1306580
16100,1305831
16200,1307207
16300,1307486
16400,1308261
16500,1309665
16600,1309441
16700,1309951
16800,1310001
16900,1309702
17000,1310148
17100,1309195
17200,1309397
17300,1310309
17400,1310209
17500,1309831
17600,1309555
17700,1308566
17800,1308299
17900,1307584
18000,1306990
18100,1305927
18200,1304817
18300,1303098
18400,1302236
18500,1301743
18600,1300892
18700,1300445
18800,1299015
18900,1297177
19000,1298009
19100,1296814
19200,1297463
19300,1295968
19400,1295685
19500,1294138
19600,1294157
19700,1292235
19800,1290731
19900,1288779
20000,1288213
20100,1287163
20200,1285402
20300,1283731
20400,1282642
20500,1280535
20600,1279013
20700,1277225
20800,1275142
20900,1273129
21000,1272299
21100,1270444
21200,1269405
21300,1267514
21400,1265484
21500,1263179
21600,1260810
21700,1259303
21800,1257637
21900,1255642
22000,1253664
22100,1251932
22200,1250121
22300,1248506
22400,1247192
22500,1245648
22600,1244021
22700,1241852
22800,1239796
22900,1237679
23000,1236695
23100,1234555
23200,1233153
23300,1231132
23400,1229567
23500,1227821
23600,1225875
23700,1223489
23800,1221631
23900,1219790
24000,1217887
24100,1215627
24200,1213642
24300,1211797
24400,1210601
24500,1208503
24600,1206449
24700,1204585
24800,1202963
24900,1200641
25000,1197782
25100,1196017
25200,1195785
25300,1193521
25400,1192760
25500,1190755
25600,1188637
25700,1187502
25800,1185901
25900,1183562
26000,1181890
26100,1180596
26200,1178808
26300,1177020
26400,1174971
26500,1173337
26600,1171772
26700,1169578
26800,1167131
26900,1165256
27000,1163438
27100,1162408
27200,1160568
27300,1159295
27400,1157201
27500,1155819
27600,1153987
27700,1151723
27800,1149755
27900,1148174
28000,1146718
28100,1145388
28200,1144120
28300,1142473
28400,1140812
28500,1139207
28600,1138328
28700,1137059
28800,1135216
28900,1133936
29000,1133340
29100,1131330
29200,1128931
29300,1127251
29400,1125176
29500,1123677
29600,1122377
29700,1121521
29800,1120607
29900,1118870
30000,1117592
30100,1116131
30200,1114538
30300,1112094
30400,1110610
30500,1109569
30600,1108772
30700,1107954
30800,1107098
30900,1105451
31000,1104328
31100,1103283
31200,1101915
31300,1100685
31400,1099666
31500,1098626
31600,1097786
31700,1096996
31800,1095692
31900,1094440
32000,1093135
32100,1092118
32200,1090372
32300,1089590
32400,1088413
32500,1087732
32600,1086934
32700,1085886
32800,1085387
32900,1084618
33000,1083570
33100,1082651
33200,1081584
33300,1080382
33400,1078869
33500,1077665
33600,1076606
33700,1075456
33800,1074624
33900,1073833
34000,1073306
34100,1072276
34200,1071440
34300,1070005
34400,1069344
34500,1068832
34600,1068116
34700,1067515
34800,1066305
34900,1066272
35000,1065050
35100,1064525
35200,1064243
35300,1063377
35400,1062639
35500,1062008
35600,1060966
35700,1060419
35800,1059622
35900,1058692
36000,1058283
36100,1057276
36200,1056198
36300,1055580
36400,1054739
36500,1054025
36600,1053660
36700,1052386
36800,1052193
36900,1051270
37000,1050745
37100,1049694
37200,1048888
37300,1048283
37400,1047608
37500,1047184
37600,1046702
37700,1046326
37800,1045468
37900,1044923
38000,1043941
38100,1043163
38200,1042470
38300,1042160
38400,1041480
38500,1041206
38600,1040704
38700,1040120
38800,1039561
38900,1039146
39000,1038871
39100,1038602
39200,1038546
39300,1037754
39400,1037379
39500,1037294
39600,1036719
39700,1035937
39800,1035447
39900,1035164
40000,1034760
40100,1034198
40200,1033761
40300,1033170
40400,1032776
40500,1031945
40600,1031557
40700,1031421
40800,1031018
40900,1030864
41000,1030606
41100,1030190
41200,1029953
41300,1029844
41400,1029350
41500,1028803
41600,1028459
41700,1027583
41800,1027189
41900,1026951
42000,1026739
42100,1026382
42200,1025792
42300,1025479
42400,1025105
42500,1024455
42600,1023964
42700,1023676
42800,1023302
42900,1023456
43000,1023275
43100,1022716
43200,1022617
43300,1022470
43400,1021971
43500,1021747
43600,1021644
43700,1021320
43800,1021211
43900,1020799
44000,1020493
44100,1020271
44200,1019970
44300,1019575
44400,1019004
44500,1018951
44600,1018439
44700,1018372
44800,1017702
44900,1017242
45000,1017026
45100,1016536
45200,1016257
45300,1016023
45400,1015680
45500,1015570
45600,1015276
45700,1015084
45800,1015013
45900,1014856
46000,1014663
46100,1014277
46200,1014055
46300,1013659
46400,1013507
46500,1013142
46600,1013011
46700,1012885
46800,1012783
46900,1012542
47000,1012308
47100,1012013
47200,1012080
47300,1011856
47400,1011762
47500,1011592
47600,1011329
47700,1011211
47800,1011103
47900,1010999
48000,1010670
48100,1010505
48200,1010461
48300,1010338
48400,1010437
48500,1010429
48600,1010353
48700,1010066
48800,1010091
48900,1010105
49000,1010119
49100,1009972
49200,1009805
49300,1009515
49400,1009507
49500,1009282
49600,1009220
49700,1008867
49800,1008555
49900,1008540
50000,1008511
50100,1008289
50200,1008104
50300,1007989
50400,1007915
50500,1007841
50600,1007618
50700,1007530
50800,1007318
50900,1007208
51000,1006974
51100,1006938
51200,1006820
51300,1006669
51400,1006508
51500,1006473
51600,1006306
51700,1006195
51800,1005989
51900,1006020
52000,1005858
52100,1005633
52200,1005557
52300,1005482
52400,1005575
52500,1005364
52600,1005276
52700,1005186
52800,1005124
52900,1004998
53000,1004952
53100,1004981
53200,1004883
53300,1004766
53400,1004716
53500,1004578
53600,1004513
53700,1004358
53800,1004217
53900,1004190
54000,1004067
54100,1003895
54200,1003873
54300,1003808
54400,1003760
54500,1003666
54600,1003693
54700,1003644
54800,1003632
54900,1003540
55000,1003559
55100,1003522
55200,1003477
55300,1003398
55400,1003351
55500,1003259
55600,1003329
55700,1003304
55800,1003269
55900,1003183
56000,1003009
56100,1002980
56200,1002933
56300,1002866
56400,1002743
56500,1002713
56600,1002648
56700,1002452
56800,1002326
56900,1002364
57000,1002328
57100,1002255
57200,1002174
57300,1002173
57400,1001951
57500,1001926
57600,1001870
57700,1001922
57800,1001815
57900,1001854
58000,1001674
58100,1001707
58200,1001670
58300,1001657
58400,1001722
58500,1001703
58600,1001664
58700,1001654
58800,1001675
58900,1001639
59000,1001682
59100,1001595
59200,1001515
59300,1001504
59400,1001512
59500,1001503
59600,1001528
59700,1001469
59800,1001323
59900,1001312
60000,1001191
60100,1001115
60200,1001057
60300,1001084
60400,1000982
60500,1000857
60600,1000818
60700,1000776
60800,1000697
60900,1000750
61000,1000744
61100,1000723
61200,1000664
61300,1000611
61400,1000487
61500,1000442
61600,1000380
61700,1000364
61800,1000386
61900,1000397
62000,1000335
62100,1000294
62200,1000206
62300,1000101
62400,1000078
62500,1000091
62600,1000087
62700,1000012
62800,999992
62900,1000023
63000,999997
63100,1000002
63200,999947
63300,999916
63400,999963
63500,999977
63600,999933
63700,999904
63800,999926
63900,999950
64000,999889
64100,999813
64200,999829
64300,999866
64400,999749
64500,999787
64600,999765
64700,999729
64800,999707
64900,999705
65000,999642
65100,999586
65200,999590
65300,999533
65400,999547
65500,999512
65600,999471
65700,999501
65800,999427
65900,999485
66000,999462
66100,999436
