altitude,count
0,424036
100,432994
200,442200
300,451838
400,461583
500,471066
600,481203
700,491471
800,501745
900,512296
1000,523163
1100,534125
1200,545125
1300,556482
1400,568043
1500,579707
1600,591146
1700,603378
1800,615638
1900,628561
2000,641114
2100,654152
2200,666588
2300,679627
2400,692912
2500,706341
2600,720224
2700,734122
2800,747504
2900,762263
3000,776556
3100,790946
3200,805217
3300,820531
3400,835196
3500,849720
3600,865084
3700,880441
3800,896559
3900,911943
4000,927075
4100,942480
4200,958070
4300,973843
4400,989504
4500,1005301
4600,1020992
4700,1036744
4800,1052540
4900,1067949
5000,1084882
5100,1100388
5200,1115994
5300,1132229
5400,1148858
5500,1165016
5600,1181400
5700,1198093
5800,1214406
5900,1230035
6000,1245911
6100,1262418
6200,1278261
6300,1294287
6400,1309687
6500,1325414
6600,1341764
6700,1356858
6800,1372526
6900,1387130
7000,1401239
7100,1415407
7200,1430237
7300,1444352
7400,1459290
7500,1474338
7600,1488108
7700,1502531
7800,1515827
7900,1529027
8000,1542133
8100,1554660
8200,1568056
8300,1581712
8400,1595143
8500,1607363
8600,1619526
8700,1631486
8800,1642674
8900,1654054
9000,1665873
9100,1677231
9200,1688262
9300,1698062
9400,1709088
9500,1719507
9600,1728290
9700,1738329
9800,1748515
9900,1757940
10000,1767173
10100,1775634
10200,1783345
10300,1790794
10400,1798787
10500,1806066
10600,1813313
10700,1821053
10800,1828696
10900,1834566
11000,1840993
11100,1847652
11200,1854402
11300,1859950
11400,1865191
11500,1871079
11600,1877426
11700,1883004
11800,1888662
11900,1891657
12000,1896932
12100,1900916
12200,1904849
12300,1908122
12400,1911845
12500,1913372
12600,1915987
12700,1918529
12800,1920052
12900,1922585
13000,1923703
13100,1924776
13200,1925682
13300,1928268
13400,1929109
13500,1929778
13600,1931122
13700,1930307
13800,1930303
13900,1931287
14000,1932433
14100,1931245
14200,1930837
14300,1929968
14400,1928995
14500,1928830
14600,1927392
14700,1926131
14800,1923781
14900,1921936
15000,1920700
15100,1919394
15200,1916204
15300,1914995
15400,1911622
15500,1909624
15600,1907700
15700,1904476
15800,1900753
15900,1896797
16000,1894986
16100,1891956
16200,1889598
16300,1886033
16400,1883115
16500,1880038
16600,1876216
16700,1872257
16800,1867960
16900,1863721
17000,1860402
17100,1855950
17200,1852419
17300,1847638
17400,1843449
17500,1840083
17600,1834583
17700,1830017
17800,1826230
17900,1819964
18000,1814576
18100,1809810
18200,1804184
18300,1799846
18400,1795354
18500,1790280
18600,1784547
18700,1778635
18800,1773694
18900,1768907
19000,1763400
19100,1758111
19200,1752273
19300,1747636
19400,1742330
19500,1737088
19600,1732915
19700,1727218
19800,1722237
19900,1715819
20000,1710445
20100,1704080
20200,1698936
20300,1693545
20400,1687784
20500,1682306
20600,1677628
20700,1671964
20800,1666211
20900,1660561
21000,1655534
21100,1648673
21200,1642984
21300,1636943
21400,1631166
21500,1625587
21600,1620729
21700,1615356
21800,1609692
21900,1603410
22000,1598013
22100,1593234
22200,1586839
22300,1582013
22400,1576719
22500,1571567
22600,1566607
22700,1560888
22800,1556300
22900,1551603
23000,1546980
23100,1541105
23200,1536801
23300,1531735
23400,1527158
23500,1521521
23600,1515901
23700,1510181
23800,1504913
23900,1500038
24000,1494777
24100,1490268
24200,1485141
24300,1481663
24400,1476926
24500,1471583
24600,1466541
24700,1460991
24800,1455153
24900,1451965
25000,1446658
25100,1442711
25200,1438248
25300,1433045
25400,1428310
25500,1423085
25600,1417896
25700,1413514
25800,1409612
25900,1405459
26000,1400719
26100,1396436
26200,1391978
26300,1387760
26400,1384342
26500,1380206
26600,1376264
26700,1371075
26800,1367635
26900,1363582
27000,1359728
27100,1355507
27200,1351645
27300,1347784
27400,1344163
27500,1339522
27600,1336490
27700,1332887
27800,1328937
27900,1325118
28000,1321635
28100,1318183
28200,1314385
28300,1310817
28400,1306541
28500,1303464
28600,1299523
28700,1296493
28800,1292431
28900,1289319
29000,1285693
29100,1281685
29200,1278178
29300,1275127
29400,1271961
29500,1268766
29600,1264593
29700,1262356
29800,1260121
29900,1257963
30000,1255120
30100,1252349
30200,1249040
30300,1245885
30400,1242475
30500,1240234
30600,1237641
30700,1234613
30800,1232288
30900,1229528
31000,1226984
31100,1224266
31200,1221665
31300,1218464
31400,1215722
31500,1213416
31600,1210537
31700,1207668
31800,1205524
31900,1202973
32000,1200286
32100,1197704
32200,1195446
32300,1193090
32400,1190368
32500,1188351
32600,1185937
32700,1183548
32800,1180845
32900,1178893
33000,1176541
33100,1173851
33200,1171899
33300,1169326
33400,1166969
33500,1164728
33600,1162110
33700,1160347
33800,1158306
33900,1156024
34000,1154419
34100,1152155
34200,1150699
34300,1148747
34400,1147028
34500,1144779
34600,1142958
34700,1141283
34800,1139580
34900,1137936
35000,1135900
35100,1134303
35200,1133004
35300,1131613
35400,1129568
35500,1127869
35600,1126318
35700,1124819
35800,1123006
35900,1121495
36000,1120076
36100,1118734
36200,1117106
36300,1115628
36400,1114617
36500,1113418
36600,1112197
36700,1110907
36800,1109535
36900,1108359
37000,1107195
37100,1106192
37200,1104552
37300,1103216
37400,1101717
37500,1100414
37600,1099210
37700,1097743
37800,1096326
37900,1095219
38000,1094165
38100,1092685
38200,1091538
38300,1090418
38400,1089796
38500,1088752
38600,1087468
38700,1086268
38800,1085164
38900,1083930
39000,1082807
39100,1081620
39200,1080917
39300,1079517
39400,1078551
39500,1077743
39600,1076561
39700,1075238
39800,1074165
39900,1073335
40000,1072469
40100,1071520
40200,1070405
40300,1069510
40400,1068737
40500,1067809
40600,1067016
40700,1066365
40800,1065064
40900,1064285
41000,1063577
41100,1062961
41200,1061957
41300,1061302
41400,1060569
41500,1059430
41600,1058780
41700,1058267
41800,1057494
41900,1056685
42000,1055989
42100,1055173
42200,1054538
42300,1053510
42400,1053026
42500,1052222
42600,1051522
42700,1051030
42800,1050115
42900,1049450
43000,1048998
43100,1048382
43200,1047669
43300,1046908
43400,1046296
43500,1045831
43600,1045068
43700,1044855
43800,1044135
43900,1043925
44000,1043123
44100,1042632
44200,1041752
44300,1041072
44400,1040659
44500,1040193
44600,1039542
44700,1039175
44800,1038621
44900,1038338
45000,1037802
45100,1037321
45200,1036674
45300,1036127
45400,1035468
45500,1034974
45600,1034615
45700,1034555
45800,1034027
45900,1033595
46000,1033349
46100,1032859
46200,1032393
46300,1032048
46400,1031666
46500,1031193
46600,1030653
46700,1030239
46800,1029833
46900,1029208
47000,1028848
47100,1028313
47200,1027984
47300,1027743
47400,1027159
47500,1026599
47600,1026530
47700,1026138
47800,1025888
47900,1025534
48000,1025155
48100,1024733
48200,1024334
48300,1023954
48400,1023346
48500,1022987
48600,1022660
48700,1022432
48800,1022107
48900,1021675
49000,1021347
49100,1021065
49200,1020895
49300,1020430
49400,1020150
49500,1019914
49600,1019591
49700,1019322
49800,1018969
49900,1018810
50000,1018407
50100,1018195
50200,1017814
50300,1017639
50400,1017424
50500,1017188
50600,1016975
50700,1016713
50800,1016483
50900,1016451
51000,1016253
51100,1016155
51200,1016003
51300,1015732
51400,1015391
51500,1015005
51600,1014770
51700,1014516
51800,1014236
51900,1014082
52000,1013860
52100,1013670
52200,1013545
52300,1013327
52400,1013121
52500,1012899
52600,1012773
52700,1012433
52800,1012247
52900,1012123
53000,1011988
53100,1011720
53200,1011551
53300,1011296
53400,1011135
53500,1011113
53600,1010962
53700,1010848
53800,1010715
53900,1010530
54000,1010446
54100,1010313
54200,1010009
54300,1009823
54400,1009709
54500,1009670
54600,1009569
54700,1009327
54800,1009164
54900,1009021
55000,1008741
55100,1008645
55200,1008657
55300,1008441
55400,1008406
55500,1008204
55600,1008266
55700,1008007
55800,1007851
55900,1007611
56000,1007538
56100,1007302
56200,1007233
56300,1007121
56400,1007045
56500,1006900
56600,1006872
56700,1006765
56800,1006727
56900,1006686
57000,1006546
57100,1006382
57200,1006336
57300,1006117
57400,1006068
57500,1006023
57600,1005818
57700,1005789
57800,1005797
57900,1005682
58000,1005613
58100,1005606
58200,1005407
58300,1005304
58400,1005214
58500,1005109
58600,1005004
58700,1004947
58800,1004870
58900,1004772
59000,1004697
59100,1004653
59200,1004535
59300,1004367
59400,1004274
59500,1004234
59600,1004247
59700,1004254
59800,1004176
59900,1004039
60000,1003935
60100,1003846
60200,1003685
60300,1003580
60400,1003502
60500,1003384
60600,1003320
60700,1003262
60800,1003142
60900,1003105
61000,1003070
61100,1003045
61200,1003069
61300,1002991
61400,1002886
61500,1002805
61600,1002757
61700,1002734
61800,1002559
61900,1002559
62000,1002467
62100,1002364
62200,1002313
62300,1002345
62400,1002310
62500,1002259
62600,1002177
62700,1002163
62800,1002232
62900,1002168
63000,1002090
63100,1002072
63200,1002027
63300,1001968
63400,1001912
63500,1001824
63600,1001835
63700,1001778
63800,1001743
63900,1001694
64000,1001627
64100,1001640
64200,1001554
64300,1001527
64400,1001487
64500,1001407
64600,1001411
64700,1001371
64800,1001375
64900,1001353
65000,1001308
65100,1001226
65200,1001140
65300,1001160
65400,1001119
65500,1001075
65600,1001059
65700,1001025
65800,1001010
65900,1001013
66000,1000980
66100,1000930
66200,1000831
66300,1000855
66400,1000817
66500,1000802
66600,1000725
66700,1000748
66800,1000711
66900,1000664
67000,1000650
67100,1000609
67200,1000628
67300,1000566
67400,1000538
67500,1000492
67600,1000460
67700,1000423
67800,1000396
67900,1000384
68000,1000425
68100,1000408
68200,1000383
68300,1000228
68400,1000201
68500,1000117
68600,1000068
68700,1000074
68800,1000063
68900,1000057
69000,999999
69100,999988
69200,999963
69300,999970
69400,999893
69500,999887
69600,999848
69700,999851
69800,999855
69900,999838
70000,999794
70100,999740
70200,999744
70300,999757
70400,999726
70500,999691
70600,999703
70700,999725
70800,999752
70900,999764
71000,999734
71100,999725
71200,999707
71300,999700
71400,999622
71500,999617
71600,999597
71700,999570
71800,999551
71900,999538
72000,999535
72100,999545
72200,999547
72300,999535
72400,999540
72500,999550
72600,999536
72700,999528
72800,999526
72900,999511
73000,999470
73100,999455
73200,999440
73300,999418
73400,999419
73500,999371
73600,999366
73700,999363
73800,999305
73900,999302
74000,999290
74100,999292
74200,999307
74300,999320
74400,999288
74500,999257
74600,999252
74700,999279
74800,999251
74900,999236
75000,999225
75100,999182
75200,999163
75300,999127
75400,999120
75500,999121
75600,999145
75700,999167
75800,999178
75900,999160
76000,999147
76100,999136
76200,999136
76300,999134
76400,999083
