Altitude (m),Resized Sim Count,Exp Count
0,5.003645885880169,
100,5.169248100382303,
200,5.345622075223274,
300,5.519112700074556,
400,5.700056512635035,
500,5.882958827075302,
600,6.079625057504084,
700,6.289239161471469,
800,6.4886799362299525,4.28
900,6.704169545836704,2.48
1000,6.926677120512698,3.33
1100,7.1613709291073775,1.03
1200,7.380124708513777,0.84
1300,7.632064214216595,1.06
1400,7.880467535969796,0.95
1500,8.131917416202667,1.24
1600,8.399960159583749,1.12
1700,8.669961404844619,1.56
1800,8.929734918066593,1.41
1900,9.202510707657163,1.34
2000,9.476864179317564,1.49
2100,9.780758387664777,1.58
2200,10.08225887149225,1.64
2300,10.376142959120543,1.34
2400,10.680907612747664,1.68
2500,11.001340281413093,1.95
2600,11.332218293437395,1.33
2700,11.67615298466029,1.53
2800,12.022209386252953,2.2
2900,12.385511484953758,2.08
3000,12.737497795015782,2.56
3100,13.108253081425783,2.14
3200,13.474601738606259,2.69
3300,13.848784403305888,1.79
3400,14.242171266993447,2.44
3500,14.65470792683894,3.08
3600,15.064959667824679,2.83
3700,15.45785690604229,3.4
3800,15.862396349878646,2.96
3900,16.291253858722378,3.58
4000,16.724844413775596,2.81
4100,17.19085905550532,3.99
4200,17.65012774631577,3.48
4300,18.085078372118847,3.56
4400,18.551800250638493,3.99
4500,19.026519345167276,3.94
4600,19.517015260394356,3.53
4700,20.030414767048967,3.54
4800,20.527330216215358,4.61
4900,21.051501483208806,4.94
5000,21.594659337870205,5.23
5100,22.111486222814445,4.44
5200,22.629346761528577,5.47
5300,23.14856737099256,6.01
5400,23.67518676533574,5.8
5500,24.207409651168323,4.91
5600,24.72989443043195,4.96
5700,25.281103903932483,5.51
5800,25.788355890797757,6.55
5900,26.35773590951633,7.25
6000,26.90921739716683,7.26
6100,27.43643522263995,6.4
6200,28.01544454226748,8.3
6300,28.573780786497245,8.5
6400,29.178305033392025,7.13
6500,29.755192642649785,10.01
6600,30.338935008486807,8.01
6700,30.921861331873917,8.24
6800,31.4976064817018,10.5
6900,32.084667420168465,8.45
7000,32.66590725582576,9.1
7100,33.267167332920884,10.37
7200,33.88240893732451,9.86
7300,34.5165283237361,10.48
7400,35.12790732721014,10.63
7500,35.716654753406615,12.16
7600,36.308720752232745,12.61
7700,36.94920526975364,11.32
7800,37.565099708117195,12.24
7900,38.17696833706118,13.48
8000,38.8330120639604,13.95
8100,39.42681895334634,12.99
8200,40.02296516442202,15.4
8300,40.61002610288868,14.52
8400,41.25029300908961,14.32
8500,41.801937705230095,16.77
8600,42.38442880597725,16.37
8700,42.90941611542061,16.85
8800,43.500339654816855,18.46
8900,44.12901875822903,19.22
9000,44.691924840178295,18.89
9100,45.30934255778169,21.61
9200,45.89488021700851,19.12
9300,46.476120052665806,20.73
9400,47.09087203159948,21.52
9500,47.62815438062152,20.76
9600,48.23082893129649,22.47
9700,48.78078713970716,21.0
9800,49.31583897269944,23.64
9900,49.89104009422738,23.08
10000,50.44007345452815,24.91
10100,50.990847705388724,25.49
10200,51.510177120512694,27.12
10300,52.07406245340186,26.35
10400,52.64540097400022,29.21
10500,53.197861712590615,26.65
10600,53.71512382017481,31.65
10700,54.23869665603832,32.05
10800,54.75361944193277,30.94
10900,55.285679119275365,35.21
11000,55.72835494693761,30.82
11100,56.19431518583733,32.93
11200,56.631333119180184,36.29
11300,57.08603197227113,30.92
11400,57.542471715921884,36.02
11500,58.00799673218166,36.65
11600,58.47270570599152,42.74
11700,58.86603816684909,36.32
11800,59.36311682450546,40.94
11900,59.75323951839337,36.48
12000,60.13057754723266,41.57
12100,60.59196794841288,43.36
12200,61.02980192420564,38.04
12300,61.42253595393328,45.05
12400,61.810319326131435,46.36
12500,62.267792723552084,38.8
12600,62.631094822252884,48.33
12700,62.947828098478716,48.77
12800,63.24845813702628,40.21
12900,63.605068687637804,50.29
13000,63.92506613366328,47.84
13100,64.279935793715,46.95
13200,64.64111618204603,44.98
13300,64.91514323672646,50.18
13400,65.30624518155427,50.72
13500,65.59974844937261,54.72
13600,65.87742049366265,56.78
13700,66.21683974999603,57.27
13800,66.44495081616142,50.36
13900,66.754774932978,56.24
14000,66.93022405970906,54.56
14100,67.18727743143133,59.09
14200,67.40668404479766,60.79
14300,67.64121464490236,58.62
14400,67.85436493281937,51.97
14500,68.12414856676025,61.03
14600,68.34159667824679,64.79
14700,68.51155111914846,61.05
14800,68.73890054569392,60.91
14900,68.96668519487936,61.31
15000,69.16394985643807,65.11
15100,69.32808319453036,63.01
15200,69.48601461000332,67.77
15300,69.64742780659591,64.16
15400,69.85443057472358,62.94
15500,69.97134225638096,66.76
15600,70.12503025111438,62.4
15700,70.21811349323434,64.13
15800,70.34563372674059,65.67
15900,70.49029085169498,59.69
16000,70.66846011992575,66.6
16100,70.78901679119275,67.41
16200,70.88514659179238,72.24
16300,70.96615240565363,64.39
16400,71.0666888354828,71.06
16500,71.16999980964164,67.86
16600,71.29969615634765,67.07
16700,71.40414958993638,66.22
16800,71.44642058884182,68.81
16900,71.50000737638604,66.97
17000,71.55702154221989,69.97
17100,71.67398762670727,69.53
17200,71.7812700074557,67.29
17300,71.86347268357683,69.83
17400,71.9007386221228,73.31
17500,71.9480146813877,74.98
17600,71.99790207649232,73.09
17700,72.0195,70.4
17800,72.010197116071,74.54
17900,72.0074225717413,70.74
18000,71.99991498120211,67.94
18100,71.9842469661638,72.09
18200,72.00209109440188,68.61
18300,71.97363841431495,72.29
18400,72.0000237868621,69.6
18500,71.954543020987,72.09
18600,71.90226190136264,75.81
18700,71.89823609194308,68.53
18800,71.85971888830723,65.49
18900,71.78921282063484,69.77
19000,71.76614602071733,70.52
19100,71.77800583765605,70.86
19200,71.7367684925205,71.89
19300,71.72915209632131,75.62
19400,71.71321206713304,72.57
19500,71.6931374228652,70.1
19600,71.62486187122256,67.27
19700,71.52693677723313,72.24
19800,71.44005545773251,68.72
19900,71.3586144212313,72.2
20000,71.30317793746728,70.25
20100,71.29159013467853,72.22
20200,71.25932925649201,71.16
20300,71.19306660955915,68.05
20400,71.07751499865162,71.41
20500,71.02920528561684,70.31
20600,70.9786106537223,67.97
20700,70.84711901362648,69.62
20800,70.73189381969891,71.68
20900,70.67776300385475,70.23
21000,70.60513522581259,71.66
21100,70.55274530052824,70.81
21200,70.43240624058122,70.89
21300,70.36260740969875,70.56
21400,70.31739865797363,71.4
21500,70.3018938514253,68.53
21600,70.14102468313266,71.73
21700,70.06573116642078,68.91
21800,70.0108931137867,62.95
21900,69.90943183584764,68.41
22000,69.84714059550437,64.72
22100,69.73376509779659,61.79
22200,69.69709759038055,68.8
22300,69.637254477387,60.91
22400,69.51914593346974,74.68
22500,69.46817048176526,66.42
22600,69.31317681911197,68.07
22700,69.24631574104919,70.73
22800,69.11623857453321,68.38
22900,69.0125467805644,68.45
23000,68.95226844493091,66.74
23100,68.87338434143942,59.64
23200,68.76490509843113,69.17
23300,68.63553516870508,65.74
23400,68.50676367010898,68.73
23500,68.40143979124034,64.53
23600,68.32048838020907,63.52
23700,68.24106024841764,64.59
23800,68.16021764304637,70.9
23900,68.01659417186185,65.11
24000,67.9280263646314,67.17
24100,67.81829585653325,66.38
24200,67.67010254762924,66.44
24300,67.57293909325972,64.81
24400,67.51238874347625,66.77
24500,67.43731283808435,64.44
24600,67.29472302066974,65.14
24700,67.21360840114849,64.63
24800,67.10719646567998,61.56
24900,66.9419206681578,66.59
25000,66.86940169577562,66.53
25100,66.75341486222814,62.84
25200,66.6509743333492,60.84
25300,66.53950293469121,65.69
25400,66.47547080378813,61.74
25500,66.29137162708798,62.76
25600,66.1698901077111,60.2
25700,66.05412088548358,61.74
25800,65.9955834404099,65.82
25900,65.89243567474102,54.68
26000,65.78390202890273,57.2
26100,65.69919682260188,64.66
26200,65.55209157029775,64.53
26300,65.41597568965243,54.27
26400,65.27180819016799,62.82
26500,65.17752808578815,61.98
26600,65.08569610875807,62.71
26700,64.93902607909389,60.49
26800,64.79072396452989,59.98
26900,64.68763060169101,60.45
27000,64.6034150208601,62.67
27100,64.53824043052713,61.36
27200,64.42611619790922,64.47
27300,64.35267237741715,60.32
27400,64.26192845698694,60.15
27500,64.15132750360887,55.79
27600,64.07587077840701,56.6
27700,64.01907422389314,60.95
27800,63.89878956677612,61.91
27900,63.787807793588094,59.22
28000,63.67791407699995,59.11
28100,63.56160082647249,56.17
28200,63.4503470391345,57.03
28300,63.371408532813014,
