altitude,count
0,91974
100,95018
200,98260
300,101449
400,104775
500,108137
600,111752
700,115605
800,119271
900,123232
1000,127322
1100,131636
1200,135657
1300,140288
1400,144854
1500,149476
1600,154403
1700,159366
1800,164141
1900,169155
2000,174198
2100,179784
2200,185326
2300,190728
2400,196330
2500,202220
2600,208302
2700,214624
2800,220985
2900,227663
3000,234133
3100,240948
3200,247682
3300,254560
3400,261791
3500,269374
3600,276915
3700,284137
3800,291573
3900,299456
4000,307426
4100,315992
4200,324434
4300,332429
4400,341008
4500,349734
4600,358750
4700,368187
4800,377321
4900,386956
5000,396940
5100,406440
5200,415959
5300,425503
5400,435183
5500,444966
5600,454570
5700,464702
5800,474026
5900,484492
6000,494629
6100,504320
6200,514963
6300,525226
6400,536338
6500,546942
6600,557672
6700,568387
6800,578970
6900,589761
7000,600445
7100,611497
7200,622806
7300,634462
7400,645700
7500,656522
7600,667405
7700,679178
7800,690499
7900,701746
8000,713805
8100,724720
8200,735678
8300,746469
8400,758238
8500,768378
8600,779085
8700,788735
8800,799597
8900,811153
9000,821500
9100,832849
9200,843612
9300,854296
9400,865596
9500,875472
9600,886550
9700,896659
9800,906494
9900,917067
10000,927159
10100,937283
10200,946829
10300,957194
10400,967696
10500,977851
10600,987359
10700,996983
10800,1006448
10900,1016228
11000,1024365
11100,1032930
11200,1040963
11300,1049321
11400,1057711
11500,1066268
11600,1074810
11700,1082040
11800,1091177
11900,1098348
12000,1105284
12100,1113765
12200,1121813
12300,1129032
12400,1136160
12500,1144569
12600,1151247
12700,1157069
12800,1162595
12900,1169150
13000,1175032
13100,1181555
13200,1188194
13300,1193231
13400,1200420
13500,1205815
13600,1210919
13700,1217158
13800,1221351
13900,1227046
14000,1230271
14100,1234996
14200,1239029
14300,1243340
14400,1247258
14500,1252217
14600,1256214
14700,1259338
14800,1263517
14900,1267704
15000,1271330
15100,1274347
15200,1277250
15300,1280217
15400,1284022
15500,1286171
15600,1288996
15700,1290707
15800,1293051
15900,1295710
16000,1298985
16100,1301201
16200,1302968
16300,1304457
16400,1306305
16500,1308204
16600,1310588
16700,1312508
16800,1313285
16900,1314270
17000,1315318
17100,1317468
17200,1319440
17300,1320951
17400,1321636
17500,1322505
17600,1323422
17700,1323819
17800,1323648
17900,1323597
18000,1323459
18100,1323171
18200,1323499
18300,1322976
18400,1323461
18500,1322625
18600,1321664
18700,1321590
18800,1320882
18900,1319586
19000,1319162
19100,1319380
19200,1318622
19300,1318482
19400,1318189
19500,1317820
19600,1316565
19700,1314765
19800,1313168
19900,1311671
20000,1310652
20100,1310439
20200,1309846
20300,1308628
20400,1306504
20500,1305616
20600,1304686
20700,1302269
20800,1300151
20900,1299156
21000,1297821
21100,1296858
21200,1294646
21300,1293363
21400,1292532
21500,1292247
21600,1289290
21700,1287906
21800,1286898
21900,1285033
22000,1283888
22100,1281804
22200,1281130
22300,1280030
22400,1277859
22500,1276922
22600,1274073
22700,1272844
22800,1270453
22900,1268547
23000,1267439
23100,1265989
23200,1263995
23300,1261617
23400,1259250
23500,1257314
23600,1255826
23700,1254366
23800,1252880
23900,1250240
24000,1248612
24100,1246595
24200,1243871
24300,1242085
24400,1240972
24500,1239592
24600,1236971
24700,1235480
24800,1233524
24900,1230486
25000,1229153
25100,1227021
25200,1225138
25300,1223089
25400,1221912
25500,1218528
25600,1216295
25700,1214167
25800,1213091
25900,1211195
26000,1209200
26100,1207643
26200,1204939
26300,1202437
26400,1199787
26500,1198054
26600,1196366
26700,1193670
26800,1190944
26900,1189049
27000,1187501
27100,1186303
27200,1184242
27300,1182892
27400,1181224
27500,1179191
27600,1177804
27700,1176760
27800,1174549
27900,1172509
28000,1170489
28100,1168351
28200,1166306
28300,1164855
28400,1162735
28500,1160983
28600,1159529
28700,1157743
28800,1156775
28900,1155668
29000,1154029
29100,1152899
29200,1151176
29300,1149228
29400,1147357
29500,1145641
29600,1143541
29700,1141873
29800,1140576
29900,1139804
30000,1138255
30100,1136255
30200,1134591
30300,1133767
30400,1132276
30500,1131149
30600,1129629
30700,1127761
30800,1126265
30900,1124662
31000,1123244
31100,1121723
31200,1119919
31300,1118833
31400,1117839
31500,1116495
31600,1114946
31700,1113730
31800,1111855
31900,1110804
32000,1109698
32100,1108338
32200,1107447
32300,1105810
32400,1104664
32500,1103115
32600,1102450
32700,1100987
32800,1099491
32900,1098332
33000,1097185
33100,1095274
33200,1093900
33300,1093353
33400,1092181
33500,1091513
33600,1090811
33700,1089423
33800,1088906
33900,1087469
34000,1086393
34100,1085087
34200,1084345
34300,1083642
34400,1082818
34500,1081942
34600,1081265
34700,1080070
34800,1079206
34900,1078556
35000,1077751
35100,1076988
35200,1075990
35300,1074635
35400,1073809
35500,1072287
35600,1071778
35700,1070857
35800,1069842
35900,1069205
36000,1068206
36100,1067416
36200,1067003
36300,1066279
36400,1065853
36500,1064987
36600,1064133
36700,1063131
36800,1062057
36900,1061104
37000,1060609
37100,1059852
37200,1059270
37300,1058703
37400,1057845
37500,1057364
37600,1056348
37700,1055361
37800,1055025
37900,1054283
38000,1053498
38100,1052652
38200,1052287
38300,1051470
38400,1051113
38500,1050605
38600,1049807
38700,1048613
38800,1048069
38900,1047355
39000,1046744
39100,1046066
39200,1045706
39300,1045381
39400,1044843
39500,1043974
39600,1043353
39700,1043063
39800,1042432
39900,1041981
40000,1041456
40100,1041603
40200,1041132
40300,1040569
40400,1040141
40500,1039322
40600,1038726
40700,1038243
40800,1037679
40900,1037168
41000,1036525
41100,1036020
41200,1035786
41300,1035318
41400,1034553
41500,1034603
41600,1034229
41700,1033839
41800,1033294
41900,1033185
42000,1032763
42100,1032253
42200,1031824
42300,1031543
42400,1030759
42500,1030390
42600,1029812
42700,1029543
42800,1029273
42900,1028860
43000,1028367
43100,1028153
43200,1027952
43300,1027335
43400,1027117
43500,1026589
43600,1026305
43700,1025704
43800,1025615
43900,1025205
44000,1025083
44100,1024806
44200,1024556
44300,1023930
44400,1023799
44500,1023394
44600,1022806
44700,1022474
44800,1022468
44900,1022246
45000,1021785
45100,1021318
45200,1020998
45300,1020720
45400,1020591
45500,1020565
45600,1020095
45700,1019874
45800,1019353
45900,1019175
46000,1018792
46100,1018651
46200,1018530
46300,1018347
46400,1017905
46500,1017862
46600,1017705
46700,1017511
46800,1017441
46900,1017063
47000,1016748
47100,1016298
47200,1016108
47300,1015969
47400,1015839
47500,1015683
47600,1015536
47700,1015239
47800,1015034
47900,1014924
48000,1014904
48100,1014470
48200,1014315
48300,1013980
48400,1013973
48500,1013789
48600,1013632
48700,1013404
48800,1013226
48900,1013054
49000,1012803
49100,1012683
49200,1012462
49300,1012357
49400,1012317
49500,1012075
49600,1011889
49700,1011635
49800,1011484
49900,1011194
50000,1011032
50100,1010896
50200,1010901
50300,1010693
50400,1010615
50500,1010439
50600,1010363
50700,1010055
50800,1009984
50900,1010036
51000,1009872
51100,1009731
51200,1009526
51300,1009406
51400,1009421
51500,1009338
51600,1009187
51700,1009130
51800,1009042
51900,1008860
52000,1008709
52100,1008509
52200,1008384
52300,1008261
52400,1008003
52500,1007914
52600,1007970
52700,1007856
52800,1007652
52900,1007643
53000,1007681
53100,1007444
53200,1007153
53300,1007103
53400,1007025
53500,1007048
53600,1006856
53700,1006785
53800,1006732
53900,1006600
54000,1006494
54100,1006296
54200,1006185
54300,1006116
54400,1006076
54500,1005932
54600,1005868
54700,1005784
54800,1005624
54900,1005467
55000,1005465
55100,1005467
55200,1005464
55300,1005291
55400,1005143
55500,1004974
55600,1004985
55700,1004894
55800,1004768
55900,1004757
56000,1004636
56100,1004471
56200,1004528
56300,1004428
56400,1004272
56500,1004193
56600,1004148
56700,1004139
56800,1003927
56900,1004067
57000,1003968
57100,1003978
57200,1004025
57300,1003889
57400,1003807
57500,1003769
57600,1003796
57700,1003864
57800,1003837
57900,1003679
58000,1003714
58100,1003674
58200,1003499
58300,1003454
58400,1003281
58500,1003254
58600,1003217
58700,1003134
58800,1003017
58900,1003007
59000,1002963
59100,1003035
59200,1003061
59300,1002970
59400,1002879
59500,1002827
59600,1002775
59700,1002751
59800,1002716
59900,1002709
60000,1002706
60100,1002745
60200,1002694
60300,1002638
60400,1002568
60500,1002560
60600,1002538
60700,1002563
60800,1002305
60900,1002254
61000,1002194
61100,1002073
61200,1002094
61300,1002015
61400,1002027
61500,1002005
61600,1002001
61700,1001946
61800,1001930
61900,1001900
62000,1001885
62100,1001848
62200,1001806
62300,1001801
62400,1001807
62500,1001727
62600,1001781
62700,1001708
62800,1001735
62900,1001821
63000,1001761
63100,1001689
63200,1001667
63300,1001520
63400,1001464
63500,1001491
63600,1001415
63700,1001453
63800,1001433
63900,1001400
64000,1001309
64100,1001301
64200,1001275
64300,1001231
64400,1001216
64500,1001175
64600,1001241
64700,1001194
64800,1001133
64900,1001082
65000,1001032
65100,1000986
65200,1000957
65300,1000947
65400,1000901
65500,1000916
65600,1000926
65700,1000934
65800,1000927
65900,1000920
66000,1000918
66100,1000905
66200,1000936
66300,1000876
66400,1000930
66500,1000857
66600,1000884
66700,1000863
66800,1000842
66900,1000858
67000,1000866
67100,1000831
67200,1000817
67300,1000852
67400,1000816
67500,1000785
67600,1000734
67700,1000787
67800,1000795
67900,1000790
68000,1000747
68100,1000733
68200,1000747
68300,1000666
68400,1000648
68500,1000643
68600,1000616
68700,1000553
68800,1000540
68900,1000508
69000,1000529
69100,1000490
69200,1000497
69300,1000511
69400,1000478
69500,1000494
69600,1000439
69700,1000466
69800,1000429
69900,1000421
70000,1000420
70100,1000345
70200,1000335
70300,1000318
70400,1000302
70500,1000285
70600,1000255
70700,1000300
70800,1000291
70900,1000247
71000,1000258
71100,1000269
71200,1000274
71300,1000299
71400,1000271
71500,1000268
71600,1000259
71700,1000238
71800,1000244
71900,1000243
72000,1000274
72100,1000232
72200,1000197
72300,1000198
72400,1000174
72500,1000198
72600,1000221
72700,1000221
72800,1000189
72900,1000178
73000,1000131
73100,1000134
73200,1000107
73300,1000110
73400,1000140
73500,1000109
73600,1000120
73700,1000119
73800,1000082
73900,1000050
74000,1000044
74100,1000054
74200,1000055
74300,1000072
74400,1000069
74500,1000075
74600,1000080
74700,1000029
74800,1000025
74900,1000015
75000,1000019
75100,1000043
75200,1000034
75300,1000014
75400,999984
75500,999971
75600,999932
75700,999950
75800,999962
75900,999972
76000,999991
76100,999967
76200,999954
76300,999948
76400,999892
76500,999904
76600,999903
76700,999893
76800,999881
76900,999868
77000,999873
77100,999856
77200,999860
77300,999879
77400,999908
77500,999904
77600,999854
77700,999821
77800,999772
77900,999751
78000,999740
78100,999744
78200,999755
78300,999752
78400,999768
78500,999766
78600,999760
78700,999758
78800,999764
78900,999749
79000,999763
79100,999737
79200,999730
79300,999734
79400,999736
79500,999711
79600,999715
79700,999730
79800,999703
79900,999717
80000,999741
80100,999715
80200,999741
80300,999742
80400,999734
80500,999757
80600,999780
80700,999758
80800,999743
80900,999740
81000,999742
81100,999762
81200,999729
81300,999731
81400,999740
81500,999714
81600,999726
81700,999735
81800,999754
81900,999747
82000,999743
82100,999744
82200,999719
82300,999716
82400,999715
82500,999724
82600,999696
82700,999680
82800,999697
82900,999702
83000,999712
83100,999687
83200,999689
83300,999679
83400,999661
83500,999631
83600,999647
83700,999639
83800,999612
83900,999621
84000,999637
84100,999643
84200,999651
84300,999665
84400,999656
84500,999649
84600,999653
84700,999666
84800,999677
84900,999660
85000,999666
85100,999670
85200,999671
85300,999677
85400,999689
85500,999682
85600,999691
85700,999665
85800,999670
85900,999678
86000,999661
86100,999668
86200,999653
86300,999646
86400,999658
86500,999653
86600,999650
86700,999640
86800,999647
86900,999655
87000,999664
87100,999662
87200,999665
87300,999673
87400,999666
87500,999651
87600,999659
87700,999663
87800,999670
87900,999668
88000,999665
88100,999657
88200,999648
88300,999650
88400,999653
88500,999649
88600,999659
88700,999647
88800,999648
88900,999641
89000,999645
89100,999636
89200,999618
89300,999624
89400,999634
89500,999620
89600,999617
89700,999621
89800,999627
89900,999621
90000,999625
90100,999634
90200,999631
90300,999639
90400,999635
90500,999623
90600,999628
90700,999629
90800,999625
90900,999614
91000,999619
91100,999604
91200,999613
91300,999598
91400,999592
91500,999599
91600,999597
91700,999600
91800,999606
91900,999605
92000,999608
92100,999612
92200,999616
92300,999608
92400,999612
92500,999609
92600,999609
92700,999613
92800,999621
92900,999625
93000,999623
93100,999613
93200,999621
93300,999615
93400,999618
93500,999616
93600,999599
93700,999591
93800,999583
93900,999587
94000,999570
94100,999572
94200,999563
94300,999556
94400,999558
94500,999561
94600,999562
94700,999562
94800,999562
94900,999565
95000,999565
95100,999571
95200,999573
95300,999576
95400,999578
95500,999571
95600,999572
95700,999564
95800,999565
95900,999567
96000,999560
96100,999560
96200,999561
96300,999564
96400,999566
96500,999569
96600,999560
96700,999561
96800,999565
96900,999569
97000,999570
97100,999574
97200,999566
97300,999558
97400,999559
97500,999561
97600,999564
97700,999568
97800,999559
97900,999560
98000,999562
98100,999562
98200,999565
98300,999566
98400,999568
98500,999560
98600,999563
98700,999566
98800,999567
98900,999569
99000,999570
99100,999571
