Altitude (m),Resized Sim Count,Exp Count
0,0.5813272509084384,
100,0.6535604504059934,
200,0.7315630747835449,
300,0.7924882015163071,
400,0.8797219057018527,
500,0.9568014220986049,
600,1.0428812413081512,
700,1.1100373469113094,
800,1.1949632811448567,4.28
900,1.3068901238167872,2.48
1000,1.4271249383159121,3.33
1100,1.5648988044502266,1.03
1200,1.6602097034677672,0.84
1300,1.7654440132789018,1.06
1400,1.9103719662644116,0.95
1500,2.0299144497779373,1.24
1600,2.1466876093490646,1.12
1700,2.3264628886097527,1.56
1800,2.5039303979184426,1.41
1900,2.707475707684716,1.34
2000,2.810402247543852,1.49
2100,2.9797925620205463,1.58
2200,3.1261051769772554,1.64
2300,3.313265320084339,1.34
2400,3.5230416087210084,1.68
2500,3.7704345475752548,1.95
2600,3.981826275178323,1.33
2700,4.187679354896595,1.53
2800,4.367223857162084,2.2
2900,4.599847068323538,2.08
3000,4.828316293571397,2.56
3100,5.058400957785653,2.14
3200,5.330948589116684,2.69
3300,5.663729016194877,1.79
3400,5.886428816562739,2.44
3500,6.197746983087344,3.08
3600,6.502834170741555,2.83
3700,6.814613891256561,3.4
3800,7.147855872325153,2.96
3900,7.495867581086537,3.58
4000,7.836263649006326,2.81
4100,8.179429040868511,3.99
4200,8.53644105244269,3.48
4300,8.863221277645687,3.56
4400,9.126768606163923,3.99
4500,9.505704432282087,3.94
4600,9.946950047104213,3.53
4700,10.330270636131173,3.54
4800,10.809594455161276,4.61
4900,11.246916861065003,4.94
5000,11.629083565115966,5.23
5100,12.068021409986093,4.44
5200,12.546652898030596,5.47
5300,13.125672378987035,6.01
5400,13.549840496164371,5.8
5500,13.999163305818492,4.91
5600,14.414561897178233,4.96
5700,14.882346866448342,5.51
5800,15.326592582208066,6.55
5900,15.921766452828496,7.25
6000,16.436629929119377,7.26
6100,16.941108440626262,6.4
6200,17.45758735588354,8.3
6300,17.965989076308823,8.5
6400,18.394541956394956,7.13
6500,19.00148545377058,10.01
6600,19.618813915930197,8.01
6700,20.233142277152215,8.24
6800,20.808700103180655,10.5
6900,21.227098795477996,8.45
7000,21.881351576869587,9.1
7100,22.57552877843076,10.37
7200,23.24893605042394,9.86
7300,23.90295805482033,10.48
7400,24.574749887847112,10.63
7500,25.096536673993988,12.16
7600,25.63747795074245,12.61
7700,26.341117009106814,11.32
7800,26.97944617782962,12.24
7900,27.52500299448208,13.48
8000,28.09594528060652,13.95
8100,28.893972130007626,12.99
8200,29.24452238571621,15.4
8300,29.910544793862993,14.52
8400,30.612106859270558,14.32
8500,31.39374854201247,16.77
8600,32.045924330447264,16.37
8700,32.71402373155085,16.85
8800,33.2729656139249,18.46
8900,33.97475845632766,19.22
9000,34.589779148535285,18.89
9100,35.14964413889013,21.61
9200,35.86666826297609,19.12
9300,36.66607977434839,20.73
9400,37.221560001794444,21.52
9500,37.852735083666055,20.76
9600,38.28221107173299,22.47
9700,38.91223226862859,21.0
9800,39.59025508052577,23.64
9900,40.153350948813426,23.08
10000,40.82006568794581,24.91
10100,41.400239053878245,25.49
10200,42.177495973711366,27.12
10300,42.67389729038626,26.35
10400,43.30461081826746,29.21
10500,43.879476313310306,26.65
10600,44.44972626844915,31.65
10700,45.18913576106949,32.05
10800,45.818926180969896,30.94
10900,46.32040459153919,35.21
11000,46.769496624198105,30.82
11100,47.4239801825849,32.93
11200,48.118618938136464,36.29
11300,48.73133186039209,30.92
11400,49.30827434839173,36.02
11500,49.892140146247364,36.65
11600,50.328308667175094,42.74
11700,50.81247880310439,36.32
11800,51.121489199677,40.94
11900,51.46119293661119,36.48
12000,51.802973666502176,41.57
12100,52.314144710869854,43.36
12200,53.030014949979815,38.04
12300,53.639727771297835,45.05
12400,54.11489760441434,46.36
12500,54.85246088107308,38.8
12600,55.55771537840384,48.33
12700,55.96688299089318,48.77
12800,56.47251538737607,40.21
