altitude,count
0,116516
100,118954
200,121347
300,123855
400,126360
500,128810
600,131299
700,133964
800,136681
900,139410
1000,142106
1100,144761
1200,147503
1300,150347
1400,153179
1500,156151
1600,159135
1700,162186
1800,165278
1900,168461
2000,171725
2100,174904
2200,178280
2300,181607
2400,185034
2500,188500
2600,192061
2700,195654
2800,199369
2900,203282
3000,207066
3100,210948
3200,214976
3300,218894
3400,222961
3500,227190
3600,231293
3700,235584
3800,239882
3900,244290
4000,248882
4100,253518
4200,258164
4300,262936
4400,267841
4500,272880
4600,277783
4700,282801
4800,287829
4900,292965
5000,298221
5100,303419
5200,308858
5300,314438
5400,319924
5500,325532
5600,331372
5700,337439
5800,343484
5900,349414
6000,355435
6100,361760
6200,368160
6300,374367
6400,380774
6500,387223
6600,393726
6700,400270
6800,407058
6900,414157
7000,420874
7100,427938
7200,435028
7300,442261
7400,449117
7500,455901
7600,462414
7700,468913
7800,475507
7900,481851
8000,488062
8100,494010
8200,500216
8300,506033
8400,512083
8500,517894
8600,523484
8700,529188
8800,534788
8900,540129
9000,545584
9100,550827
9200,556018
9300,561039
9400,565935
9500,570672
9600,575526
9700,580109
9800,584527
9900,588924
10000,593216
10100,597231
10200,601250
10300,605071
10400,608763
10500,612421
10600,615945
10700,619331
10800,622445
10900,625674
11000,628575
11100,631376
11200,633937
11300,636467
11400,638911
11500,641038
11600,643067
11700,644835
11800,646504
11900,648195
12000,649633
12100,650935
12200,652062
12300,653056
12400,653490
12500,654185
12600,654762
12700,655016
12800,654961
12900,655130
13000,654899
13100,654568
13200,653995
13300,653348
13400,652582
13500,651642
13600,650525
13700,649261
13800,647835
13900,646162
14000,644262
14100,642273
14200,640162
14300,637916
14400,635398
14500,632571
14600,629747
14700,626750
14800,623779
14900,620533
15000,617095
15100,613378
15200,609627
15300,605626
15400,601332
15500,596960
15600,592532
15700,587897
15800,582992
15900,578228
16000,573404
16100,568577
16200,563722
16300,559056
16400,554219
16500,549468
16600,544638
16700,539947
16800,535254
16900,530638
17000,525996
17100,521395
17200,516789
17300,512111
17400,507571
17500,503034
17600,498441
17700,493873
17800,489252
17900,484776
18000,480363
18100,475824
18200,471415
18300,466999
18400,462548
18500,458131
18600,453725
18700,449560
18800,445185
18900,440845
19000,436635
19100,432366
19200,428216
19300,424052
19400,419960
19500,415714
19600,411684
19700,407598
19800,403515
19900,399543
20000,395396
20100,391465
20200,387446
20300,383431
20400,379505
20500,375563
20600,371628
20700,367809
20800,364010
20900,360230
21000,356555
21100,352910
21200,349236
21300,345535
21400,341912
21500,338224
21600,334643
21700,331103
21800,327677
21900,324209
22000,320705
22100,317245
22200,313822
22300,310456
22400,307110
22500,303746
22600,300398
22700,297181
22800,293891
22900,290754
23000,287500
23100,284343
23200,281230
23300,278168
23400,275205
23500,272079
23600,269050
23700,266011
23800,263031
23900,260121
24000,257141
24100,254235
24200,251319
24300,248466
24400,245662
24500,242963
24600,240171
24700,237470
24800,234714
24900,231894
25000,229277
25100,226650
25200,224012
25300,221459
25400,218949
25500,216411
25600,213903
25700,211488
25800,209048
25900,206591
26000,204152
26100,201720
26200,199321
26300,196918
26400,194551
26500,192246
26600,189983
26700,187762
26800,185506
26900,183269
27000,181087
27100,178921
27200,176804
27300,174672
27400,172581
27500,170576
27600,168522
27700,166490
27800,164459
27900,162464
28000,160501
28100,158537
28200,156621
28300,154764
28400,152844
28500,150953
28600,149228
28700,147400
28800,145670
28900,143978
29000,142297
29100,140538
29200,138849
29300,137151
29400,135530
29500,133830
29600,132144
29700,130506
29800,128932
29900,127403
30000,125805
30100,124289
30200,122837
30300,121308
30400,119777
30500,118295
30600,116847
30700,115429
30800,114023
30900,112612
31000,111170
31100,109797
31200,108461
31300,107114
31400,105778
31500,104438
31600,103120
31700,101820
31800,100582
31900,99357
32000,98101
32100,96894
32200,95694
32300,94523
32400,93307
32500,92203
32600,91060
32700,89975
32800,88818
32900,87703
33000,86612
33100,85546
33200,84463
33300,83380
33400,82339
33500,81311
33600,80314
33700,79301
33800,78283
33900,77244
34000,76253
34100,75346
34200,74355
34300,73370
34400,72427
34500,71502
34600,70600
34700,69708
34800,68832
34900,67961
35000,67104
35100,66209
35200,65353
35300,64512
35400,63684
35500,62894
35600,62074
35700,61255
35800,60481
35900,59693
36000,58966
36100,58185
36200,57416
36300,56692
36400,55995
36500,55275
36600,54515
36700,53842
36800,53133
36900,52462
37000,51786
37100,51114
37200,50453
37300,49800
37400,49146
37500,48492
37600,47845
37700,47233
37800,46614
37900,45998
38000,45398
38100,44803
38200,44260
38300,43672
38400,43113
38500,42555
38600,41983
38700,41441
38800,40922
38900,40403
39000,39863
39100,39332
39200,38824
39300,38297
39400,37815
39500,37294
39600,36790
39700,36289
39800,35850
39900,35395
40000,34980
40100,34532
40200,34085
40300,33680
40400,33233
40500,32821
40600,32431
40700,32031
40800,31624
40900,31225
41000,30845
41100,30457
41200,30087
41300,29692
41400,29320
41500,28945
