altitude,count
0,112065
100,114285
200,116576
300,118877
400,121226
500,123632
600,125986
700,128441
800,130868
900,133318
1000,135855
1100,138453
1200,140973
1300,143697
1400,146436
1500,149124
1600,151832
1700,154606
1800,157506
1900,160443
2000,163396
2100,166498
2200,169523
2300,172599
2400,175727
2500,178890
2600,182148
2700,185375
2800,188769
2900,192198
3000,195637
3100,199167
3200,202704
3300,206397
3400,210111
3500,213856
3600,217704
3700,221569
3800,225594
3900,229623
4000,233707
4100,237897
4200,242106
4300,246436
4400,250705
4500,255195
4600,259875
4700,264539
4800,269369
4900,274087
5000,278742
5100,283729
5200,288771
5300,293851
5400,299043
5500,304269
5600,309626
5700,314955
5800,320549
5900,326250
6000,331812
6100,337565
6200,343439
6300,349292
6400,355343
6500,361370
6600,367530
6700,373858
6800,380170
6900,386615
7000,393042
7100,399733
7200,406535
7300,413239
7400,419850
7500,426937
7600,433983
7700,441135
7800,448281
7900,455502
8000,462906
8100,470327
8200,477978
8300,485554
8400,493234
8500,501146
8600,509179
8700,517347
8800,525455
8900,533104
9000,540362
9100,547476
9200,554383
9300,561226
9400,567799
9500,574340
9600,580629
9700,586926
9800,592829
9900,598741
10000,604499
10100,610346
10200,616113
10300,621553
10400,626883
10500,632203
10600,637400
10700,642374
10800,647099
10900,651808
11000,656116
11100,660559
11200,664841
11300,668952
11400,672747
11500,676397
11600,679941
11700,683218
11800,686512
11900,689549
12000,692591
12100,695295
12200,697910
12300,700329
12400,702502
12500,704411
12600,706278
12700,707907
12800,709186
12900,710387
13000,711416
13100,712224
13200,712876
13300,713146
13400,713567
13500,713685
13600,713441
13700,713109
13800,712517
13900,711609
14000,710597
14100,709530
14200,708200
14300,706504
14400,704655
14500,702489
14600,700325
14700,697922
14800,695300
14900,692411
15000,689349
15100,685977
15200,682639
15300,678942
15400,675001
15500,670848
15600,666476
15700,661884
15800,657145
15900,652197
16000,647390
16100,642610
16200,637850
16300,632903
16400,628167
16500,623288
16600,618365
16700,613426
16800,608477
16900,603649
17000,598778
17100,594021
17200,589142
17300,584321
17400,579469
17500,574686
17600,569896
17700,565184
17800,560474
17900,555718
18000,551077
18100,546392
18200,541794
18300,537195
18400,532617
18500,527980
18600,523370
18700,518627
18800,513991
18900,509408
19000,504830
19100,500227
19200,495533
19300,490953
19400,486433
19500,481881
19600,477466
19700,472987
19800,468623
19900,464131
20000,459602
20100,455217
20200,450816
20300,446548
20400,442293
20500,438011
20600,433677
20700,429410
20800,425213
20900,421088
21000,416976
21100,412749
21200,408520
21300,404446
21400,400352
21500,396314
21600,392401
21700,388410
21800,384481
21900,380599
22000,376763
22100,372939
22200,369193
22300,365366
22400,361613
22500,357836
22600,354083
22700,350419
22800,346785
22900,343105
23000,339437
23100,335759
23200,332191
23300,328699
23400,325234
23500,321795
23600,318374
23700,314874
23800,311490
