altitude,count
0,191531
100,194986
200,198367
300,201707
400,205103
500,208690
600,212286
700,215997
800,219755
900,223550
1000,227361
1100,231347
1200,235246
1300,239329
1400,243395
1500,247534
1600,251825
1700,256207
1800,260649
1900,265151
2000,269598
2100,274281
2200,278890
2300,283674
2400,288443
2500,293195
2600,298152
2700,303202
2800,308458
2900,313755
3000,319055
3100,324645
3200,330031
3300,335569
3400,341256
3500,347008
3600,352755
3700,358817
3800,364903
3900,371012
4000,377132
4100,383439
4200,389907
4300,396519
4400,403068
4500,409925
4600,416792
4700,423750
4800,430829
4900,438124
5000,445293
5100,452818
5200,460445
5300,468056
5400,475858
5500,483807
5600,491868
5700,500019
5800,508433
5900,516850
6000,525257
6100,533851
6200,542668
6300,551566
6400,560594
6500,569651
6600,579028
6700,588371
6800,597639
6900,606117
7000,614317
7100,622092
7200,629654
7300,637260
7400,644777
7500,652046
7600,659173
7700,666314
7800,673493
7900,680464
8000,687231
8100,693809
8200,700173
8300,706501
8400,712644
8500,718751
8600,724531
8700,730225
8800,735650
8900,740891
9000,746053
9100,750962
9200,755631
9300,760110
9400,764324
9500,768496
9600,772328
9700,775943
9800,779283
9900,782689
10000,785633
10100,788388
10200,790857
10300,792996
10400,795110
10500,796924
10600,798407
10700,799685
10800,800637
10900,801369
11000,801873
11100,801917
11200,801841
11300,801438
11400,800749
11500,799838
11600,798775
11700,797262
11800,795494
11900,793315
12000,790956
12100,788131
12200,785136
12300,781849
12400,778246
12500,774302
12600,769976
12700,765523
12800,760921
12900,756382
13000,752013
13100,747375
13200,742654
13300,737998
13400,733286
13500,728519
13600,723905
13700,719327
13800,714710
13900,709843
14000,705137
14100,700383
14200,695496
14300,690715
14400,686072
14500,681325
14600,676481
14700,671582
14800,666770
14900,661937
15000,657134
15100,652382
15200,647503
15300,642742
15400,637927
15500,632969
15600,628089
15700,623266
15800,618330
15900,613512
16000,608746
16100,603837
16200,598925
16300,594197
16400,589434
16500,584802
16600,580108
16700,575200
16800,570429
16900,565658
17000,561005
17100,556254
17200,551600
17300,546828
17400,542108
17500,537323
17600,532621
17700,527858
17800,523126
17900,518456
18000,513825
18100,509353
18200,504796
18300,500285
18400,495636
18500,491009
18600,486477
18700,481920
18800,477437
18900,472933
19000,468565
19100,464065
19200,459559
19300,455201
19400,450772
19500,446342
19600,442068
19700,437739
19800,433454
19900,429311
20000,425038
20100,420974
20200,416755
20300,412569
20400,408496
20500,404341
20600,400269
20700,396238
20800,392162
20900,388147
21000,384212
21100,380211
21200,376324
21300,372419
