altitude,count
0,36128
100,37231
200,38360
300,39535
400,40782
500,42007
600,43268
700,44551
800,45845
900,47162
1000,48492
1100,49919
1200,51293
1300,52742
1400,54189
1500,55632
1600,57099
1700,58703
1800,60233
1900,61816
2000,63439
2100,65044
2200,66646
2300,68376
2400,70153
2500,71863
2600,73589
2700,75422
2800,77239
2900,79173
3000,81117
3100,83143
3200,85195
3300,87241
3400,89230
3500,91387
3600,93542
3700,95666
3800,97815
3900,100055
4000,102325
4100,104620
4200,106943
4300,109282
4400,111858
4500,114308
4600,116778
4700,119302
4800,121880
4900,124522
5000,127194
5100,129929
5200,132691
5300,135623
5400,138413
5500,141374
5600,144255
5700,147230
5800,150374
5900,153549
6000,156735
6100,159924
6200,163188
6300,166445
6400,169739
6500,173122
6600,176531
6700,179941
6800,183267
6900,186885
7000,190483
7100,194136
7200,197845
7300,201573
7400,205377
7500,209252
7600,213084
7700,216912
7800,220984
7900,225035
8000,229117
8100,233285
8200,237506
8300,241624
8400,245828
8500,250125
8600,254571
8700,259040
8800,263424
8900,267953
9000,272452
9100,276860
9200,281515
9300,285980
9400,290468
9500,295142
9600,299825
9700,304528
9800,309117
9900,313704
10000,318468
10100,323297
10200,328210
10300,333029
10400,337771
10500,342455
10600,347037
10700,351519
10800,356019
10900,360215
11000,364389
11100,368573
11200,372846
11300,376978
11400,380906
11500,384982
11600,388853
11700,392761
11800,396622
11900,400177
12000,403786
12100,407249
12200,410533
12300,414143
12400,417366
12500,420557
12600,423573
12700,426613
12800,429563
12900,432328
13000,435266
13100,437935
13200,440575
13300,443108
13400,445570
13500,447977
13600,450359
13700,452557
13800,454918
13900,456882
14000,458832
14100,460690
14200,462603
14300,464476
14400,466064
14500,467587
14600,469040
14700,470505
14800,471925
14900,473072
15000,474298
15100,475272
15200,476261
15300,477118
15400,477773
15500,478410
15600,478915
15700,479485
15800,479930
15900,480457
16000,480694
16100,480847
16200,480946
16300,480830
16400,480570
16500,480472
16600,480056
16700,479695
16800,479068
16900,478468
17000,477688
17100,476954
17200,476157
17300,475280
17400,474353
17500,473243
17600,472119
17700,470750
17800,469337
17900,467796
18000,466185
18100,464517
18200,462733
18300,460949
18400,459041
18500,457021
18600,454996
18700,452863
18800,450550
18900,448231
19000,445948
19100,443501
19200,441052
19300,438474
19400,435698
19500,433129
19600,430364
19700,427420
19800,424399
19900,421374
20000,418186
20100,414879
20200,411727
20300,408496
20400,405198
20500,401755
20600,398148
20700,394542
20800,390812
20900,387071
21000,383209
21100,379432
21200,375452
21300,371660
21400,367690
21500,363758
21600,360011
21700,356247
21800,352491
21900,348747
22000,345118
22100,341424
22200,337864
22300,334192
22400,330713
22500,327113
22600,323617
22700,320150
22800,316732
22900,313329
23000,309944
23100,306598
23200,303309
23300,300059
23400,296781
23500,293627
23600,290386
23700,287179
23800,284062
23900,280918
24000,277715
24100,274638
24200,271624
24300,268561
24400,265577
24500,262570
24600,259583
24700,256609
24800,253712
24900,250839
25000,248007
25100,245137
25200,242326
25300,239497
25400,236762
25500,234064
25600,231335
25700,228675
25800,226027
25900,223431
26000,220857
26100,218231
26200,215766
26300,213259
26400,210707
26500,208192
26600,205793
26700,203329
26800,201029
26900,198650
27000,196314
27100,193991
27200,191749
27300,189471
27400,187176
27500,184911
27600,182784
27700,180579
27800,178489
27900,176219
28000,174075
28100,171922
28200,169822
28300,167739
28400,165781
28500,163749
28600,161799
28700,159858
28800,157926
28900,156051
29000,154181
29100,152320
29200,150510
29300,148632
29400,146806
29500,145029
29600,143244
29700,141537
29800,139813
29900,138105
30000,136376
30100,134698
30200,133043
30300,131429
30400,129800
30500,128187
30600,126593
30700,125047
30800,123515
30900,121982
31000,120521
31100,119053
31200,117607
31300,116127
31400,114703
31500,113208
31600,111794
31700,110385
31800,108972
31900,107583
32000,106251
32100,104949
32200,103660
32300,102368
32400,101095
32500,99838
32600,98603
32700,97408
32800,96223
32900,95082
33000,93918
33100,92759
33200,91565
33300,90467
33400,89380
33500,88287
33600,87185
33700,86140
33800,85100
33900,84043
34000,82952
34100,81930
34200,80906
34300,79871
34400,78883
34500,77920
34600,76962
34700,75980
34800,74969
34900,74040
35000,73096
35100,72204
35200,71338
35300,70432
35400,69580
35500,68748
35600,67917
35700,67092
35800,66254
35900,65411
36000,64575
36100,63712
36200,62863
36300,62127
36400,61364
36500,60587
36600,59777
36700,59017
36800,58225
36900,57475
37000,56752
37100,56041
37200,55374
37300,54725
37400,54018
37500,53343
37600,52682
37700,52029
37800,51386
37900,50752
38000,50079
38100,49460
38200,48816
38300,48181
38400,47571
38500,46986
38600,46417
38700,45766
38800,45170
38900,44534
39000,43942
39100,43368
39200,42760
39300,42231
39400,41673
39500,41133
39600,40634
39700,40076
39800,39541
39900,39024
40000,38515
40100,38059
40200,37572
