altitude,count
0,10442
100,10842
200,11229
300,11519
400,11942
500,12346
600,12681
700,13142
800,13586
900,14098
1000,14606
1100,15072
1200,15555
1300,16141
1400,16519
1500,17106
1600,17627
1700,18152
1800,18825
1900,19305
2000,19949
2100,20406
2200,20962
2300,21745
2400,22356
2500,22987
2600,23677
2700,24554
2800,25202
2900,25858
3000,26681
3100,27317
3200,28155
3300,28960
3400,29823
3500,30692
3600,31542
3700,32472
3800,33233
3900,34148
4000,34925
4100,35554
4200,36692
4300,37573
4400,38470
4500,39247
4600,40046
4700,41206
4800,42467
4900,43323
5000,44294
5100,45277
5200,46386
5300,47375
5400,48487
5500,49467
5600,50516
5700,51605
5800,52743
5900,53545
6000,54656
6100,55557
6200,56679
6300,57477
6400,58823
6500,59898
6600,60989
6700,62061
6800,63526
6900,64480
7000,65662
7100,66704
7200,67871
7300,69214
7400,70434
7500,71524
7600,72813
7700,74040
7800,75194
7900,76053
8000,77103
8100,78051
8200,79111
8300,80077
8400,80962
8500,81976
8600,83077
8700,84148
8800,85396
8900,86289
9000,87353
9100,88405
9200,89496
9300,90332
9400,91267
9500,92210
9600,93241
9700,94490
9800,95234
9900,96228
10000,97108
10100,98323
10200,99061
10300,100168
10400,100942
10500,102122
10600,102856
10700,103391
10800,104450
10900,105077
11000,106369
11100,107265
11200,107839
11300,108614
11400,109757
11500,110252
11600,110769
11700,111434
11800,112401
11900,112919
12000,113754
12100,114307
12200,114917
12300,115993
12400,116814
12500,117574
12600,118333
12700,118781
12800,119634
12900,120486
13000,120762
13100,121435
13200,121598
13300,122362
13400,122507
13500,123245
13600,123391
13700,123761
13800,124217
13900,124634
14000,124775
14100,125107
14200,125183
14300,125506
14400,125869
14500,126345
14600,126280
14700,126538
14800,127044
14900,127526
15000,127948
15100,128188
15200,128185
15300,128394
15400,128373
15500,128376
15600,128457
15700,128495
15800,128971
15900,129399
16000,129943
16100,129931
16200,129926
16300,130041
16400,130123
16500,130196
16600,130420
16700,130963
16800,130722
16900,130852
17000,131314
17100,131366
17200,131271
17300,131250
17400,131209
17500,131642
17600,131859
17700,131966
17800,131998
17900,132407
18000,132392
18100,132275
18200,132232
18300,131961
18400,131818
18500,131726
18600,131521
18700,131293
18800,131056
18900,131311
19000,130916
19100,130861
19200,130948
19300,130829
19400,130430
19500,130398
19600,130526
19700,130314
19800,129700
19900,129477
20000,129362
20100,129675
20200,129623
20300,129583
20400,129589
20500,129149
20600,129010
20700,129145
20800,128735
20900,128572
21000,128660
21100,128769
21200,128546
21300,128587
21400,128178
21500,128022
21600,127618
21700,127554
21800,127414
21900,127096
22000,126913
22100,127004
22200,127068
22300,126719
22400,126644
22500,126776
22600,126452
22700,126472
22800,125972
22900,125488
23000,125473
23100,125244
23200,125097
23300,124823
23400,124728
23500,124311
23600,124274
23700,124081
23800,123638
23900,123439
24000,123261
24100,123136
24200,123034
24300,122832
24400,122492
24500,122013
24600,122099
24700,121761
24800,121453
24900,121319
25000,120959
25100,121123
25200,120826
25300,120719
25400,120702
25500,120473
25600,120296
25700,120367
25800,119938
25900,119744
26000,119432
26100,119326
26200,119201
26300,118879
26400,118747
26500,118550
26600,118526
26700,118220
26800,117878
26900,117514
27000,117294
27100,117145
27200,117082
27300,117144
27400,116890
27500,116762
27600,116661
27700,116640
27800,116461
27900,116275
