Altitude (m),Simulation,Experimental
0,0.363157802,
100,0.403342067,
200,0.448624336,
300,0.50020414,
400,0.547585587,
500,0.583871379,
600,0.632752239,
700,0.679833804,
800,0.73171349,4.28
900,0.775796229,2.48
1000,0.819878968,3.33
1100,0.872658301,1.03
1200,0.938932351,0.84
1300,1.009404757,1.06
1400,1.072979863,0.95
1500,1.145551447,1.24
1600,1.230418217,1.12
1700,1.29939121,1.56
1800,1.412446941,1.41
1900,1.487417586,1.34
2000,1.586078954,1.49
2100,1.703033159,1.58
2200,1.808591827,1.64
2300,1.89975613,1.34
2400,2.007114093,1.68
2500,2.115671586,1.95
2600,2.225728492,1.33
2700,2.34058352,1.53
2800,2.490524809,2.2
2900,2.58138923,2.08
3000,2.720834628,2.56
3100,2.870476035,2.14
3200,3.00722249,2.69
3300,3.160162605,1.79
3400,3.33289497,2.44
3500,3.469341542,3.08
3600,3.621981775,2.83
3700,3.804310382,3.4
3800,3.987538637,2.96
3900,4.171366657,3.58
4000,4.328205245,2.81
4100,4.526427629,3.99
4200,4.744442263,3.48
4300,4.989446329,3.56
4400,5.253043115,3.99
4500,5.453064795,3.94
4600,5.678576493,3.53
4700,5.947871048,3.54
4800,6.246254213,4.61
4900,6.524545245,4.94
5000,6.762352129,5.23
5100,6.963573339,4.44
5200,7.146201829,5.47
5300,7.439187107,6.01
5400,7.705482836,5.8
5500,8.044050267,4.91
5600,8.420402902,4.96
5700,8.708590059,5.51
5800,9.062451501,6.55
5900,9.440603431,7.25
6000,9.765976028,7.26
6100,10.16601939,6.4
6200,10.44071183,8.3
6300,10.83835613,8.5
6400,11.32026743,7.13
6500,11.64683956,10.01
6600,12.00399971,8.01
6700,12.34136761,8.24
6800,12.79389042,10.5
6900,13.2916955,8.45
7000,13.7460176,9.1
7100,14.23722526,10.37
7200,14.8441876,9.86
7300,15.30300794,10.48
7400,15.70335119,10.63
7500,16.06620911,12.16
7600,16.57960808,12.61
7700,17.13798944,11.32
7800,17.64838959,12.24
7900,18.21726684,13.48
8000,18.80353728,13.95
8100,19.2488629,12.99
8200,19.77455706,15.4
8300,20.31974359,14.52
8400,20.93960088,14.32
8500,21.43200807,16.77
8600,21.94810599,16.37
8700,22.61774378,16.85
8800,23.32156819,18.46
8900,23.9066391,19.22
9000,24.51989897,18.89
9100,25.22312362,21.61
9200,25.92185002,19.12
9300,26.51141917,20.73
9400,27.18585509,21.52
9500,27.7640287,20.76
9600,28.38418587,22.47
9700,29.0532239,21
9800,29.6367954,23.64
9900,30.13699954,23.08
10000,30.89240375,24.91
10100,31.64690832,25.49
10200,32.32284365,27.12
10300,32.95439636,26.35
10400,33.50468089,29.21
10500,34.00968315,26.65
10600,34.82626341,31.65
10700,35.52319052,32.05
10800,36.16733829,30.94
10900,36.947033,35.21
11000,37.85897592,30.82
11100,38.5666988,32.93
11200,39.12717934,36.29
11300,39.59109769,30.92
11400,40.40767794,36.02
11500,41.14718838,36.65
11600,41.96496817,42.74
11700,42.66549387,36.32
11800,43.25926138,40.94
11900,43.74657057,36.48
12000,44.45639263,41.57
12100,45.13832561,43.36
12200,45.79356904,38.04
12300,46.43921623,45.05
12400,47.0455788,46.36
12500,47.8030822,38.8
12600,48.26040313,48.33
12700,48.68233791,48.77
12800,49.51421218,40.21
12900,50.06779542,50.29
13000,50.6138816,47.84
13100,51.20495016,46.95
13200,51.9288667,44.98
13300,52.56011953,50.18
13400,53.26334417,50.72
13500,53.82472436,54.72
13600,54.48926415,56.78
13700,55.27525639,57.27
13800,55.79375336,50.36
13900,56.23578028,56.24
14000,57.01097675,54.56
14100,57.25927952,59.09
14200,57.98889383,60.79
14300,58.32986032,58.62
14400,58.37784154,51.97
14500,58.92512724,61.03
14600,59.29728152,64.79
14700,59.84606664,61.05
14800,60.22601786,60.91
14900,60.90045378,61.31
15000,61.39256109,65.11
15100,62.10298292,63.01
15200,62.57289892,67.77
15300,63.03291879,64.16
15400,63.50463409,62.94
15500,63.78982242,66.76
15600,64.4252736,62.4
15700,64.55422311,64.13
15800,64.70206522,65.67
15900,65.27094247,59.69
16000,65.46556626,66.6
16100,65.52194419,67.41
16200,65.90969236,72.24
16300,66.36491411,64.39
16400,66.8471253,71.06
16500,66.69808366,67.86
16600,67.11941868,67.07
16700,67.36682181,66.22
16800,67.42799785,68.81
16900,67.59113397,66.97
17000,67.78545788,69.97
17100,67.94319612,69.53
17200,68.34683807,67.29
17300,68.54655987,69.83
17400,68.94840252,73.31
17500,69.13762843,74.98
17600,69.18081152,73.09
17700,69.23778921,70.4
17800,69.63633315,74.54
17900,70.04477323,70.74
18000,70.09125502,67.94
18100,70.15752907,72.09
18200,70.38304077,68.61
18300,70.22470277,72.29
18400,70.60315459,69.6
18500,70.60495388,72.09
18600,70.70331537,75.81
18700,70.6322432,68.53
18800,70.73450315,65.49
18900,70.53388171,69.77
19000,70.88984233,70.52
19100,71.0193916,70.86
19200,70.96331356,71.89
19300,71.01729243,75.62
19400,71.05807646,72.57
19500,71.39784342,70.1
19600,71.781993,67.27
19700,71.73910979,72.24
19800,71.60926063,68.72
19900,71.72291613,72.2
20000,71.65664208,70.25
20100,71.76040145,72.22
20200,71.8749566,71.16
20300,72.0195,68.05
20400,71.5168968,71.41
20500,71.59216733,70.31
20600,71.58796897,67.97
20700,71.48301007,69.62
20800,71.38884694,71.68
20900,71.43322956,70.23
21000,71.65214384,71.66
21100,71.30068146,70.81
21200,71.20801774,70.89
21300,71.02568914,70.56
21400,71.09736107,71.4
21500,71.03138691,68.53
21600,71.20501892,71.73
21700,70.95371732,68.91
21800,70.86315278,62.95
21900,70.60225494,68.41
22000,70.40613173,64.72
22100,70.33595921,61.79
22200,70.13233894,68.8
22300,70.14733307,60.91
22400,69.7955708,74.68
22500,69.52807554,66.42
22600,69.60544525,68.07
22700,69.5598631,70.73
22800,69.35354388,68.38
22900,69.37813425,68.45
23000,68.9762916,66.74
23100,68.69979986,59.64
23200,68.7765698,69.17
23300,68.54146186,65.74
23400,68.36153232,68.73
23500,68.36273185,64.53
23600,68.53756339,63.52
23700,68.08773952,64.59
23800,67.86012865,70.9
23900,67.88771784,65.11
24000,67.72967972,67.17
24100,67.35902486,66.38
24200,67.06813876,66.44
24300,66.79824444,64.81
24400,66.65999857,66.77
24500,66.72867168,64.44
24600,66.19098222,65.14
24700,65.93848109,64.63
24800,65.78614074,61.56
24900,65.82452571,66.59
25000,65.71296939,66.53
25100,65.47996063,62.84
25200,65.17557981,60.84
25300,65.0466303,65.69
25400,64.87209864,61.74
25500,64.70746311,62.76
25600,64.33201012,60.2
25700,63.93106711,61.74
25800,63.60479487,65.82
25900,63.60149616,54.68
26000,63.38228199,57.2
26100,63.02902032,64.66
26200,62.82929852,64.53
26300,62.61638189,54.27
26400,62.33209321,62.82
26500,62.01241838,61.98
26600,61.99742425,62.71
26700,61.7212324,60.49
26800,61.2582137,59.98
26900,60.97692384,60.45
27000,61.01530881,62.67
27100,60.8209849,61.36
27200,60.54149434,64.47
27300,60.34087289,60.32
27400,60.18013583,60.15
27500,60.08927141,55.79
27600,59.8535637,56.6
27700,59.86465936,60.95
27800,59.776194,61.91
27900,59.46341647,59.22
28000,59.15843589,59.11
28100,59.02828685,56.17
